query,neighbor,distance,rank
c2_uuid_aa20f8c4.nc,c2_uuid_dc364aad.nc,2.907429328004756,7
c2_uuid_aa20f8c4.nc,c2_uuid_495c8cf2.nc,3.006714574331362,8
c2_uuid_aa20f8c4.nc,c2_uuid_fa40c633.nc,3.056417325287729,9
c2_uuid_aa20f8c4.nc,c2_uuid_4b4eea26.nc,3.0637283567581597,10
c2_uuid_aa20f8c4.nc,c2_uuid_80ab3494.nc,3.293136398079453,11
c2_uuid_aa20f8c4.nc,c2_uuid_d60e0f4a.nc,3.5872704269514974,12
c2_uuid_aa20f8c4.nc,c2_uuid_a8aaadc4.nc,3.620584435512129,13
c2_uuid_aa20f8c4.nc,c2_uuid_ff53a69a.nc,3.7969514185168154,14
c2_uuid_aa20f8c4.nc,c2_uuid_4df18da4.nc,3.8293283101008186,15
c2_uuid_aa20f8c4.nc,c2_uuid_fbf4a196.nc,4.704769036758023,16
c2_uuid_aa20f8c4.nc,c2_uuid_4c0d80da.nc,5.316282141326506,17
c2_uuid_aa20f8c4.nc,c2_uuid_f544906f.nc,5.597716101119001,18
c2_uuid_aa20f8c4.nc,c2_uuid_ec81d97e.nc,9.836977261461291,19
c2_uuid_aebda966.nc,c2_uuid_49511e7b.nc,1.0130579644187092,1
c2_uuid_aebda966.nc,c2_uuid_fca79975.nc,1.7588416069158215,2
c2_uuid_aebda966.nc,c2_uuid_aa20f8c4.nc,1.945208191473963,3
c2_uuid_aebda966.nc,c2_uuid_fa40c633.nc,2.310584445334357,4
c2_uuid_aebda966.nc,c2_uuid_ff53a69a.nc,2.6755896964350763,5
c2_uuid_aebda966.nc,c2_uuid_4b4eea26.nc,2.7585015589849036,6
c2_uuid_aebda966.nc,c2_uuid_495c8cf2.nc,2.85148277085403,7
c2_uuid_aebda966.nc,c2_uuid_80ab3494.nc,3.016236162449258,8
c2_uuid_aebda966.nc,c2_uuid_eb59c68d.nc,3.033740456312718,9
c2_uuid_aebda966.nc,c2_uuid_735327ae.nc,3.089319587373575,10
c2_uuid_aebda966.nc,c2_uuid_d60e0f4a.nc,3.1324504807461055,11
c2_uuid_aebda966.nc,c2_uuid_a8aaadc4.nc,3.2493229064286115,12
c2_uuid_aebda966.nc,c2_uuid_c6fae318.nc,3.7085167183692156,13
c2_uuid_aebda966.nc,c2_uuid_fbf4a196.nc,3.7379039441118795,14
c2_uuid_aebda966.nc,c2_uuid_4df18da4.nc,4.349039468670397,15
c2_uuid_aebda966.nc,c2_uuid_dc364aad.nc,4.468712955329706,16
c2_uuid_aebda966.nc,c2_uuid_4c0d80da.nc,5.414828631892266,17
c2_uuid_aebda966.nc,c2_uuid_f544906f.nc,5.7539604978626135,18
c2_uuid_aebda966.nc,c2_uuid_ec81d97e.nc,8.929314925360782,19
c2_uuid_c6fae318.nc,c2_uuid_dc364aad.nc,1.671958548330834,1
c2_uuid_c6fae318.nc,c2_uuid_aa20f8c4.nc,2.2892429858194365,2
c2_uuid_c6fae318.nc,c2_uuid_735327ae.nc,2.826001768118937,3
c2_uuid_c6fae318.nc,c2_uuid_49511e7b.nc,2.8950604497095176,4
c2_uuid_c6fae318.nc,c2_uuid_eb59c68d.nc,3.4541058022309277,5
c2_uuid_c6fae318.nc,c2_uuid_aebda966.nc,3.708516718369215,6
c2_uuid_c6fae318.nc,c2_uuid_495c8cf2.nc,3.7463383803321033,7
c2_uuid_c6fae318.nc,c2_uuid_4df18da4.nc,3.8284461123503006,8
