SID,BASIN,SEASON,NAME,exclusion_reason
 , ,Year, ,Not in target basins
1951353S09173,SP,1952,UNNAMED,Not in target basins
1952019S11139,SP,1952,UNNAMED,Not in target basins
1952021S07177,SP,1952,UNNAMED,Not in target basins
1952021S11140,SP,1952,UNNAMED,Not in target basins
1952023S11158,SP,1952,UNNAMED,Not in target basins
1952024S11159,SP,1952,UNNAMED,Not in target basins
1952057S15146,SP,1952,UNNAMED,Not in target basins
1952063S15153,SP,1952,UNNAMED,Not in target basins
1952092S14164,SP,1952,UNNAMED,Not in target basins
1952107S09156,SP,1952,UNNAMED,Not in target basins
1952151N13247,EP,1952,UNNAMED,Not in target basins
1952165N15261,EP,1952,UNNAMED,Not in target basins
1952171N12130,EP,1952,DINAH,Not in target basins
1952201N20251,EP,1952,UNNAMED,Not in target basins
1952206N17245,EP,1952,UNNAMED,Not in target basins
1952217N15127,EP,1952,IVY,Not in target basins
1952224N14135,EP,1952,KAREN,Not in target basins
1952258N18178,EP,1952,OLIVE,Not in target basins
1952260N18252,EP,1952,UNNAMED,Not in target basins
1952271N18252,EP,1952,UNNAMED,Not in target basins
1952288N17239,EP,1952,UNNAMED,Not in target basins
1952301S16150,SP,1953,UNNAMED,Not in target basins
1952303N09149,EP,1952,AGNES,Not in target basins
1952321N10146,EP,1952,CARMEN,Not in target basins
1952350S17158,SP,1953,UNNAMED,Not in target basins
1953013S15140,SP,1953,UNNAMED,Not in target basins
1953050S17159,SP,1953,UNNAMED,Not in target basins
1953060S13162,SP,1953,UNNAMED,Not in target basins
1953061S21171,SP,1953,UNNAMED,Not in target basins
1953080S24153,SP,1953,UNNAMED,Not in target basins
1953105S10143,SP,1953,UNNAMED,Not in target basins
1953237N19251,EP,1953,UNNAMED,Not in target basins
1953253N18238,EP,1953,UNNAMED,Not in target basins
1953257N18252,EP,1953,UNNAMED,Not in target basins
1953274N16113,EP,1953,VIOLA,Not in target basins
1953275N14258,EP,1953,UNNAMED,Not in target basins
1953285N09161,EP,1953,ALICE,Not in target basins
1954003S13142,SP,1954,UNNAMED,Not in target basins
1954012S16184,SP,1954,UNNAMED,Not in target basins
1954025S16164,SP,1954,UNNAMED,Not in target basins
1954036S14149,SP,1954,UNNAMED,Not in target basins
1954044S11178,SP,1954,UNNAMED,Not in target basins
1954061S18151,SP,1954,UNNAMED,Not in target basins
1954070S13164,SP,1954,UNNAMED,Not in target basins
1954169N13267,EP,1954,UNNAMED,Not in target basins
1954191N15255,EP,1954,UNNAMED,Not in target basins
1954193N14265,EP,1954,UNNAMED,Not in target basins
1954206N19247,EP,1954,UNNAMED,Not in target basins
1954223N22138,EP,1954,GRACE,Not in target basins
1954223N22150,EP,1954,HELEN,Not in target basins
1954240N13151,EP,1954,KATHY,Not in target basins
1954245N17244,EP,1954,UNNAMED,Not in target basins
1954248N20253,EP,1954,UNNAMED,Not in target basins
1954253N18157,EP,1954,LORNA,Not in target basins
1954259N20253,EP,1954,UNNAMED,Not in target basins
1954261N11150,EP,1954,MARIE,Not in target basins
1954264N17256,EP,1954,UNNAMED,Not in target basins
1954270N14264,EP,1954,UNNAMED,Not in target basins
1954285N13265,EP,1954,UNNAMED,Not in target basins
1954285N14160,EP,1954,OLGA,Not in target basins
1954300N13269,EP,1954,UNNAMED,Not in target basins
1954354S12155,SP,1955,UNNAMED,Not in target basins
1955001S13163,SP,1955,UNNAMED,Not in target basins
1955006S16201,SP,1955,UNNAMED,Not in target basins
1955010S12142,SP,1955,UNNAMED,Not in target basins
1955023S10168,SP,1955,UNNAMED,Not in target basins
1955056S14175,SP,1955,UNNAMED,Not in target basins
1955065S17184,SP,1955,UNNAMED,Not in target basins
1955065S23155,SP,1955,UNNAMED,Not in target basins
1955081S11164,SP,1955,UNNAMED,Not in target basins
1955100S22168,SP,1955,UNNAMED,Not in target basins
1955157N14251,EP,1955,UNNAMED,Not in target basins
1955159N11251,EP,1955,UNNAMED,Not in target basins
1955188N16261,EP,1955,UNNAMED,Not in target basins
1955196N23153,EP,1955,ELLEN,Not in target basins
1955198N23137,EP,1955,UNNAMED,Not in target basins
1955199N20131,EP,1955,FRAN,Not in target basins
1955241N17144,EP,1955,JOAN,Not in target basins
1955244N18256,EP,1955,UNNAMED,Not in target basins
1955263N13150,EP,1955,LOUISE,Not in target basins
1955274N19254,EP,1955,UNNAMED,Not in target basins
1955277N16134,EP,1955,NORA,Not in target basins
1955289N15256,EP,1955,UNNAMED,Not in target basins
1955289N19128,EP,1955,OPAL,Not in target basins
1955341S20167,SP,1956,UNNAMED,Not in target basins
1955359S12158,SP,1956,UNNAMED,Not in target basins
1956001S17189,SP,1956,UNNAMED,Not in target basins
1956016S15140,SP,1956,UNNAMED,Not in target basins
1956016S18153,SP,1956,UNNAMED,Not in target basins
1956021S21164,SP,1956,UNNAMED,Not in target basins
1956029S14177,SP,1956,UNNAMED,Not in target basins
1956036S15145,SP,1956,UNNAMED,Not in target basins
1956037S15149,SP,1956,UNNAMED,Not in target basins
1956045S14147,SP,1956,UNNAMED,Not in target basins
1956054S17175,SP,1956,AGNES,Not in target basins
1956063S18171,SP,1956,UNNAMED,Not in target basins
1956073S21169,SP,1956,UNNAMED,Not in target basins
1956084S12138,SP,1956,UNNAMED,Not in target basins
1956087S18149,SP,1956,UNNAMED,Not in target basins
