SID,BASIN,SEASON,NAME,max_wind_kt,min_pressure_hpa,max_category,record_count,first_time,last_time,intensity_class
1862001S12081,SI,1862,UNNAMED,,,-5,65,1862-01-01 06:00:00,1862-01-09 06:00:00,Unknown
1862001S12104,SI,1862,UNNAMED,,,-5,33,1862-01-01 06:00:00,1862-01-05 06:00:00,Unknown
1862001S13103,SI,1862,UNNAMED,,,-5,17,1862-01-01 06:00:00,1862-01-03 06:00:00,Unknown
1862011S21051,SI,1862,UNNAMED,,,-5,41,1862-01-11 06:00:00,1862-01-16 06:00:00,Unknown
1862021S12055,SI,1862,UNNAMED,,,-5,33,1862-01-21 06:00:00,1862-01-25 06:00:00,Unknown
1862052S08080,SI,1862,UNNAMED,,,-5,65,1862-02-21 06:00:00,1862-03-01 06:00:00,Unknown
1862052S23092,SI,1862,UNNAMED,,,-5,25,1862-02-21 06:00:00,1862-02-24 06:00:00,Unknown
1862060S19101,SI,1862,UNNAMED,,,-5,35,1862-03-01 00:00:00,1862-03-05 06:00:00,Unknown
1862070S15063,SI,1862,UNNAMED,,,-5,37,1862-03-10 18:00:00,1862-03-15 06:00:00,Unknown
1862080S09082,SI,1862,UNNAMED,,,-5,49,1862-03-21 06:00:00,1862-03-27 06:00:00,Unknown
1862080S09442,SI,1862,UNNAMED,,,-5,37,1862-03-20 18:00:00,1862-03-25 06:00:00,Unknown
1862274S04058,SI,1863,UNNAMED,,,-5,13,1862-09-30 18:00:00,1862-10-02 06:00:00,Unknown
1862284S04059,SI,1863,UNNAMED,,,-5,25,1862-10-11 06:00:00,1862-10-14 06:00:00,Unknown
1862305S12062,SI,1863,UNNAMED,,,-5,29,1862-10-31 18:00:00,1862-11-04 06:00:00,Unknown
1862315S12062,SI,1863,UNNAMED,,,-5,41,1862-11-11 06:00:00,1862-11-16 06:00:00,Unknown
1862345S07089,SI,1863,UNNAMED,,,-5,37,1862-12-10 18:00:00,1862-12-15 06:00:00,Unknown
1862345S07090,SI,1863,UNNAMED,,,-5,49,1862-12-11 06:00:00,1862-12-17 06:00:00,Unknown
1863011S11055,SI,1863,UNNAMED,,,-5,57,1863-01-11 06:00:00,1863-01-18 06:00:00,Unknown
1863011S12055,SI,1863,UNNAMED,,,-5,41,1863-01-11 06:00:00,1863-01-16 06:00:00,Unknown
1863032S12059,SI,1863,UNNAMED,,,-5,65,1863-02-01 06:00:00,1863-02-09 06:00:00,Unknown
1863032S13061,SI,1863,UNNAMED,,,-5,41,1863-02-01 06:00:00,1863-02-06 06:00:00,Unknown
1863032S14058,SI,1863,UNNAMED,,,-5,41,1863-02-01 06:00:00,1863-02-06 06:00:00,Unknown
1863039S13061,SI,1863,UNNAMED,,,-5,29,1863-02-07 18:00:00,1863-02-11 06:00:00,Unknown
1863042S15073,SI,1863,UNNAMED,,,-5,65,1863-02-11 06:00:00,1863-02-19 06:00:00,Unknown
1863046S15073,SI,1863,UNNAMED,,,-5,53,1863-02-14 18:00:00,1863-02-21 06:00:00,Unknown
1863111S13081,SI,1863,UNNAMED,,,-5,53,1863-04-20 18:00:00,1863-04-27 06:00:00,Unknown
1863121S07089,SI,1863,UNNAMED,,,-5,61,1863-04-30 18:00:00,1863-05-08 06:00:00,Unknown
1863141S07089,SI,1863,UNNAMED,,,-5,73,1863-05-21 06:00:00,1863-05-30 06:00:00,Unknown
1863305S12086,SI,1864,UNNAMED,,,-5,21,1863-10-31 18:00:00,1863-11-03 06:00:00,Unknown
1863325S12086,SI,1864,UNNAMED,,,-5,33,1863-11-21 06:00:00,1863-11-25 06:00:00,Unknown
1863335S17067,SI,1864,UNNAMED,,,-5,45,1863-11-30 18:00:00,1863-12-06 06:00:00,Unknown
1864011S06081,SI,1864,UNNAMED,,,-5,81,1864-01-11 06:00:00,1864-01-21 06:00:00,Unknown
1864011S07080,SI,1864,UNNAMED,,,-5,57,1864-01-11 06:00:00,1864-01-18 06:00:00,Unknown
1864052S14079,SI,1864,UNNAMED,,,-5,73,1864-02-21 06:00:00,1864-03-01 06:00:00,Unknown
1864052S15067,SI,1864,UNNAMED,,,-5,49,1864-02-21 06:00:00,1864-02-27 06:00:00,Unknown
1864102S07069,SI,1864,UNNAMED,,,-5,69,1864-04-10 18:00:00,1864-04-19 06:00:00,Unknown
1864112S09075,SI,1864,UNNAMED,,,-5,65,1864-04-21 06:00:00,1864-04-29 06:00:00,Unknown
1864112S10075,SI,1864,UNNAMED,,,-5,53,1864-04-20 18:00:00,1864-04-27 06:00:00,Unknown
1865011S14057,SI,1865,UNNAMED,,,-5,17,1865-01-11 06:00:00,1865-01-13 06:00:00,Unknown
1865011S14058,SI,1865,UNNAMED,,,-5,33,1865-01-11 06:00:00,1865-01-15 06:00:00,Unknown
1865021S32056,SI,1865,UNNAMED,,,-5,25,1865-01-21 06:00:00,1865-01-24 06:00:00,Unknown
1865021S32057,SI,1865,UNNAMED,,,-5,9,1865-01-21 06:00:00,1865-01-22 06:00:00,Unknown
1865042S12095,SI,1865,UNNAMED,,,-5,49,1865-02-11 06:00:00,1865-02-17 06:00:00,Unknown
1865046S12094,SI,1865,UNNAMED,,,-5,45,1865-02-14 18:00:00,1865-02-20 06:00:00,Unknown
1865052S13058,SI,1865,UNNAMED,,,-5,33,1865-02-21 06:00:00,1865-02-25 06:00:00,Unknown
1865080S11085,SI,1865,UNNAMED,,,-5,29,1865-03-20 18:00:00,1865-03-24 06:00:00,Unknown
1865080S11086,SI,1865,UNNAMED,,,-5,41,1865-03-21 06:00:00,1865-03-26 06:00:00,Unknown
1865101S09076,SI,1865,UNNAMED,,,-5,41,1865-04-11 06:00:00,1865-04-16 06:00:00,Unknown
1865335S13061,SI,1866,UNNAMED,,,-5,45,1865-11-30 18:00:00,1865-12-06 06:00:00,Unknown
1866001S13066,SI,1866,UNNAMED,,,-5,65,1866-01-01 06:00:00,1866-01-09 06:00:00,Unknown
1866032S19072,SI,1866,UNNAMED,,,-5,33,1866-02-01 06:00:00,1866-02-05 06:00:00,Unknown
1866032S20072,SI,1866,UNNAMED,,,-5,21,1866-01-31 18:00:00,1866-02-03 06:00:00,Unknown
1866060S13091,SI,1866,UNNAMED,,,-5,61,1866-02-28 18:00:00,1866-03-08 06:00:00,Unknown
1866080S14080,SI,1866,UNNAMED,,,-5,29,1866-03-20 18:00:00,1866-03-24 06:00:00,Unknown
1866091S11082,SI,1866,UNNAMED,,,-5,37,1866-03-31 18:00:00,1866-04-05 06:00:00,Unknown
1866101S07089,SI,1866,UNNAMED,,,-5,43,1866-04-11 00:00:00,1866-04-16 06:00:00,Unknown
1866101S13073,SI,1866,UNNAMED,,,-5,37,1866-04-10 18:00:00,1866-04-15 06:00:00,Unknown
1866101S14051,SI,1866,UNNAMED,,,-5,33,1866-04-11 06:00:00,1866-04-15 06:00:00,Unknown
1866101S15051,SI,1866,UNNAMED,,,-5,21,1866-04-10 18:00:00,1866-04-13 06:00:00,Unknown
1866101S16054,SI,1866,UNNAMED,,,-5,18,1866-04-11 00:00:00,1866-04-13 03:00:00,Unknown
1866101S16060,SI,1866,UNNAMED,,,-5,41,1866-04-11 06:00:00,1866-04-16 06:00:00,Unknown
1866305S09073,SI,1867,UNNAMED,,,-5,37,1866-10-31 18:00:00,1866-11-05 06:00:00,Unknown
1867011S11072,SI,1867,UNNAMED,,,-5,57,1867-01-11 06:00:00,1867-01-18 06:00:00,Unknown
