ID,Type,RequestedTimestamp,RequestedLat,RequestedLon,ERA5Timestamp,CenterLat,CenterLon,GridDistanceKm,QC_Status
2025260N13138,TC,2025-09-16T18:00:00,13.2,137.7,2025-09-16T18:00:00,13.25,137.75,7.7591,PASSED
2013306N07162,TC,2013-11-02T06:00:00,6.6,161.6,2013-11-02T06:00:00,6.5,161.5,15.6741,PASSED
2021265N11150,TC,2021-09-22T06:00:00,10.8,150.0,2021-09-22T06:00:00,10.75,150.0,5.5598,PASSED
1986134N08149,TC,1986-05-14T00:00:00,8.3,148.6,1986-05-14T00:00:00,8.25,148.5,12.3285,PASSED
1980277N09157,TC,1980-10-02T12:00:00,9.4,156.5,1980-10-02T12:00:00,9.5,156.5,11.1195,PASSED
2022254N24143,TC,2022-09-11T06:00:00,23.7,142.7,2022-09-11T06:00:00,23.75,142.75,7.5378,PASSED
CTRL_001,Control,1992-02-22T18:00:00,5.9,88.5,1992-02-22T18:00:00,6.0,88.5,11.1195,PASSED
CTRL_002,Control,2009-04-28T06:00:00,2.1,52.7,2009-04-28T06:00:00,2.0,52.75,12.4304,PASSED
CTRL_003,Control,2021-04-23T06:00:00,9.1,80.0,2021-04-23T06:00:00,9.0,80.0,11.1195,PASSED
CTRL_004,Control,2003-04-17T12:00:00,6.2,71.7,2003-04-17T12:00:00,6.25,71.75,7.8395,PASSED
CTRL_005,Control,2023-05-16T12:00:00,13.0,64.9,2023-05-16T12:00:00,13.0,65.0,10.8345,PASSED
CTRL_006,Control,2013-05-23T18:00:00,13.5,81.9,2013-05-23T18:00:00,13.5,82.0,10.8123,PASSED
CTRL_007,Control,1996-05-29T12:00:00,11.0,87.3,1996-05-29T12:00:00,11.0,87.25,5.4576,PASSED
CTRL_008,Control,1996-05-17T18:00:00,11.5,83.5,1996-05-17T18:00:00,11.5,83.5,0.0,PASSED
CTRL_009,Control,2010-05-04T12:00:00,16.1,64.6,2010-05-04T12:00:00,16.0,64.5,15.4219,PASSED
CTRL_010,Control,2000-05-26T00:00:00,16.1,97.3,2000-05-26T00:00:00,16.0,97.25,12.3366,PASSED
CTRL_011,Control,2012-05-29T00:00:00,15.5,40.8,2012-05-29T00:00:00,15.5,40.75,5.3575,PASSED
CTRL_012,Control,1992-06-01T12:00:00,14.9,93.7,1992-06-01T12:00:00,15.0,93.75,12.349,PASSED
CTRL_013,Control,2018-06-14T12:00:00,17.5,42.1,2018-06-14T12:00:00,17.5,42.0,10.6049,PASSED
CTRL_014,Control,2021-06-01T18:00:00,21.8,66.4,2021-06-01T18:00:00,21.75,66.5,11.7277,PASSED
CTRL_015,Control,1983-07-19T12:00:00,18.8,88.8,1983-07-19T12:00:00,18.75,88.75,7.6564,PASSED
CTRL_016,Control,1987-07-27T00:00:00,19.2,63.9,1987-07-27T00:00:00,19.25,64.0,11.8806,PASSED
CTRL_017,Control,2012-07-17T12:00:00,15.1,40.7,2012-07-17T12:00:00,15.0,40.75,12.3479,PASSED
CTRL_018,Control,2021-08-25T18:00:00,23.4,66.3,2021-08-25T18:00:00,23.5,66.25,12.2335,PASSED
CTRL_019,Control,1984-08-29T18:00:00,24.4,59.2,1984-08-29T18:00:00,24.5,59.25,12.2172,PASSED
CTRL_020,Control,2001-08-24T12:00:00,23.8,60.8,2001-08-24T12:00:00,23.75,60.75,7.5364,PASSED
CTRL_021,Control,2016-08-28T18:00:00,22.7,66.4,2016-08-28T18:00:00,22.75,66.5,11.6663,PASSED
CTRL_022,Control,2012-09-22T06:00:00,16.0,68.0,2012-09-22T06:00:00,16.0,68.0,0.0,PASSED
CTRL_023,Control,2002-09-05T06:00:00,15.4,69.3,2002-09-05T06:00:00,15.5,69.25,12.3434,PASSED
CTRL_024,Control,2009-09-08T00:00:00,17.9,72.4,2009-09-08T00:00:00,18.0,72.5,15.3474,PASSED
CTRL_025,Control,1983-09-22T06:00:00,17.6,93.9,1983-09-22T06:00:00,17.5,94.0,15.3637,PASSED
CTRL_026,Control,1990-09-20T00:00:00,26.8,51.5,1990-09-20T00:00:00,26.75,51.5,5.5598,PASSED
CTRL_027,Control,2019-10-09T00:00:00,12.1,97.9,2019-10-09T00:00:00,12.0,98.0,15.5531,PASSED
CTRL_028,Control,2002-10-20T12:00:00,11.4,62.0,2002-10-20T12:00:00,11.5,62.0,11.1195,PASSED
CTRL_029,Control,2006-10-09T12:00:00,11.6,92.3,2006-10-09T12:00:00,11.5,92.25,12.382,PASSED
CTRL_030,Control,1995-10-26T00:00:00,10.0,85.2,1995-10-26T00:00:00,10.0,85.25,5.4753,PASSED
CTRL_031,Control,2018-10-21T12:00:00,13.7,62.1,2018-10-21T12:00:00,13.75,62.0,12.1488,PASSED
CTRL_032,Control,2015-10-22T18:00:00,13.4,88.6,2015-10-22T18:00:00,13.5,88.5,15.5112,PASSED
CTRL_033,Control,1982-10-26T06:00:00,15.1,66.3,1982-10-26T06:00:00,15.0,66.25,12.3479,PASSED
CTRL_034,Control,2002-10-10T12:00:00,16.1,82.7,2002-10-10T12:00:00,16.0,82.75,12.3366,PASSED
CTRL_035,Control,1999-10-20T00:00:00,19.2,63.5,1999-10-20T00:00:00,19.25,63.5,5.5598,PASSED
CTRL_036,Control,2009-10-31T18:00:00,15.2,95.2,2009-10-31T18:00:00,15.25,95.25,7.7259,PASSED
CTRL_037,Control,1990-10-22T06:00:00,5.1,53.1,1990-10-22T06:00:00,5.0,53.0,15.6949,PASSED
CTRL_038,Control,2001-11-20T12:00:00,12.2,64.8,2001-11-20T12:00:00,12.25,64.75,7.774,PASSED
CTRL_039,Control,2007-11-28T18:00:00,12.0,45.4,2007-11-28T18:00:00,12.0,45.5,10.8765,PASSED
CTRL_040,Control,1985-11-17T18:00:00,11.5,48.6,1985-11-17T18:00:00,11.5,48.5,10.8963,PASSED
CTRL_041,Control,2012-11-08T06:00:00,14.4,65.7,2012-11-08T06:00:00,14.5,65.75,12.3543,PASSED
CTRL_042,Control,2007-11-01T12:00:00,12.9,91.8,2007-11-01T12:00:00,13.0,91.75,12.3694,PASSED
CTRL_043,Control,2001-11-01T00:00:00,6.2,81.8,2001-11-01T00:00:00,6.25,81.75,7.8395,PASSED
CTRL_044,Control,1988-11-29T18:00:00,8.3,54.0,1988-11-29T18:00:00,8.25,54.0,5.5598,PASSED
CTRL_045,Control,1990-11-13T00:00:00,8.7,95.0,1990-11-13T00:00:00,8.75,95.0,5.5598,PASSED
CTRL_046,Control,1983-11-12T12:00:00,5.7,82.1,1983-11-12T12:00:00,5.75,82.0,12.3824,PASSED
CTRL_047,Control,2003-11-14T18:00:00,5.8,90.9,2003-11-14T18:00:00,5.75,91.0,12.3815,PASSED
CTRL_048,Control,1987-11-01T00:00:00,6.4,59.0,1987-11-01T00:00:00,6.5,59.0,11.1195,PASSED
CTRL_049,Control,2011-11-23T00:00:00,7.4,61.2,2011-11-23T00:00:00,7.5,61.25,12.4111,PASSED
CTRL_050,Control,1985-11-25T18:00:00,6.3,52.4,1985-11-25T18:00:00,6.25,52.5,12.3724,PASSED
CTRL_051,Control,1987-01-26T06:00:00,-7.4,90.6,1987-01-26T06:00:00,-7.5,90.5,15.6591,PASSED
CTRL_052,Control,2023-01-19T12:00:00,-7.1,101.5,2023-01-19T12:00:00,-7.0,101.5,11.1195,PASSED
CTRL_053,Control,2015-01-07T00:00:00,-5.7,81.5,2015-01-07T00:00:00,-5.75,81.5,5.5598,PASSED
CTRL_054,Control,2020-01-15T18:00:00,-7.2,74.0,2020-01-15T18:00:00,-7.25,74.0,5.5598,PASSED
CTRL_055,Control,2011-01-04T00:00:00,-6.1,114.3,2011-01-04T00:00:00,-6.0,114.25,12.4182,PASSED
CTRL_056,Control,2002-01-09T18:00:00,-13.9,97.4,2002-01-09T18:00:00,-14.0,97.5,15.4952,PASSED
CTRL_057,Control,2017-01-02T18:00:00,-13.4,41.4,2017-01-02T18:00:00,-13.5,41.5,15.5112,PASSED
CTRL_058,Control,2014-01-10T18:00:00,-11.3,64.3,2014-01-10T18:00:00,-11.25,64.25,7.7872,PASSED
CTRL_059,Control,2000-01-13T00:00:00,-15.1,102.3,2000-01-13T00:00:00,-15.0,102.25,12.3479,PASSED
CTRL_060,Control,2024-01-09T12:00:00,-19.9,112.3,2024-01-09T12:00:00,-20.0,112.25,12.2864,PASSED
CTRL_061,Control,1990-01-28T12:00:00,-23.4,103.1,1990-01-28T12:00:00,-23.5,103.0,15.0899,PASSED
CTRL_062,Control,1987-02-08T18:00:00,-6.2,39.1,1987-02-08T18:00:00,-6.25,39.0,12.3734,PASSED
CTRL_063,Control,2013-02-15T00:00:00,-14.2,69.6,2013-02-15T00:00:00,-14.25,69.5,12.128,PASSED
CTRL_064,Control,2001-02-12T12:00:00,-13.2,69.0,2001-02-12T12:00:00,-13.25,69.0,5.5598,PASSED
CTRL_065,Control,2005-02-09T00:00:00,-10.7,43.2,2005-02-09T00:00:00,-10.75,43.25,7.7943,PASSED
CTRL_066,Control,2017-02-17T12:00:00,-12.1,77.7,2017-02-17T12:00:00,-12.0,77.75,12.3777,PASSED
CTRL_067,Control,2017-02-17T00:00:00,-13.1,118.3,2017-02-17T00:00:00,-13.0,118.25,12.3684,PASSED
CTRL_068,Control,2010-02-22T00:00:00,-15.0,101.5,2010-02-22T00:00:00,-15.0,101.5,0.0,PASSED
CTRL_069,Control,1994-02-28T00:00:00,-15.6,67.8,1994-02-28T00:00:00,-15.5,67.75,12.3423,PASSED
