case_id,case_type,case_timestamp,C_phi,shell_grid_count,QC_Status
CTRL_071,Control,2013-02-02T18:00:00,0.6530424108682745,92,PASSED
CTRL_072,Control,2006-02-15T12:00:00,0.6322086363816575,95,PASSED
CTRL_073,Control,1997-03-25T00:00:00,0.6525752077098448,91,PASSED
CTRL_074,Control,1983-03-29T06:00:00,0.6349803166874497,87,PASSED
CTRL_075,Control,1997-03-09T18:00:00,0.6444365428905585,88,PASSED
CTRL_076,Control,2021-03-17T12:00:00,0.7554165597830775,88,PASSED
CTRL_077,Control,1982-03-28T06:00:00,0.6436024493163288,85,PASSED
CTRL_078,Control,2021-03-07T12:00:00,0.6398153560857949,90,PASSED
CTRL_079,Control,2010-03-15T00:00:00,0.639085661190261,91,PASSED
CTRL_080,Control,2019-03-02T18:00:00,0.6355937957488338,91,PASSED
CTRL_081,Control,1995-03-14T12:00:00,0.591016951955049,86,PASSED
CTRL_082,Control,1991-03-11T18:00:00,0.6383709402450775,91,PASSED
CTRL_083,Control,1999-03-13T00:00:00,0.5684038348235849,86,PASSED
CTRL_084,Control,1991-03-01T06:00:00,0.6284871829230334,92,PASSED
CTRL_085,Control,2016-04-24T00:00:00,0.5945477818511122,89,PASSED
CTRL_086,Control,2002-04-15T00:00:00,0.6394994408898023,91,PASSED
CTRL_087,Control,2012-04-05T18:00:00,0.6325013991545695,92,PASSED
CTRL_088,Control,2008-04-10T00:00:00,0.6281409039550703,90,PASSED
CTRL_089,Control,2025-04-21T12:00:00,0.6508959737988907,91,PASSED
CTRL_090,Control,2002-05-26T06:00:00,0.6351360183952899,89,PASSED
CTRL_091,Control,1996-09-16T12:00:00,0.6417985891251645,86,PASSED
CTRL_092,Control,2017-10-22T12:00:00,0.730431012235311,89,PASSED
CTRL_093,Control,1984-11-01T18:00:00,0.6541858144782612,88,PASSED
CTRL_094,Control,2025-11-02T00:00:00,0.669363847186646,89,PASSED
CTRL_095,Control,2012-11-27T00:00:00,0.631038650423834,92,PASSED
CTRL_096,Control,2004-12-15T06:00:00,0.6577658044644292,91,PASSED
CTRL_097,Control,2015-12-28T12:00:00,0.5703418291969854,91,PASSED
CTRL_098,Control,2023-12-06T12:00:00,0.6526943258915076,86,PASSED
CTRL_099,Control,1996-12-24T12:00:00,0.6338349316827242,88,PASSED
CTRL_100,Control,2015-12-21T18:00:00,0.6355673510848437,89,PASSED
CTRL_101,Control,1995-01-07T12:00:00,0.6409608634350208,94,PASSED
CTRL_102,Control,1992-04-14T12:00:00,0.5345953156077629,91,PASSED
CTRL_103,Control,1983-04-12T00:00:00,0.5855634371337037,87,PASSED
CTRL_104,Control,1991-05-28T18:00:00,0.6875708689147901,87,PASSED
CTRL_105,Control,2008-06-06T00:00:00,0.6040144261486892,90,PASSED
CTRL_106,Control,2009-06-15T00:00:00,0.6366263547240096,90,PASSED
CTRL_107,Control,1988-06-26T18:00:00,0.7528399667822723,95,PASSED
CTRL_108,Control,1993-07-31T18:00:00,0.6311892683252265,90,PASSED
CTRL_109,Control,1998-07-22T18:00:00,0.6657553976580882,93,PASSED
CTRL_110,Control,2004-07-14T00:00:00,0.6386365724293293,92,PASSED
CTRL_111,Control,2012-07-22T06:00:00,0.6132124323110377,93,PASSED
CTRL_112,Control,1981-07-04T00:00:00,0.6322527434619546,90,PASSED
CTRL_113,Control,2000-07-31T00:00:00,0.628510306893821,93,PASSED
CTRL_114,Control,2007-07-21T12:00:00,0.5988176858069698,91,PASSED
CTRL_115,Control,1982-07-21T12:00:00,0.6294881913537871,95,PASSED
CTRL_116,Control,1980-07-18T18:00:00,0.6268817302763716,101,PASSED
CTRL_117,Control,2011-07-12T12:00:00,0.61956884244433,88,PASSED
CTRL_118,Control,2010-07-02T00:00:00,0.6489792397004702,89,PASSED
CTRL_119,Control,1985-08-10T06:00:00,0.6354212829158021,89,PASSED
CTRL_120,Control,2003-08-04T00:00:00,0.6364598949894378,91,PASSED
CTRL_121,Control,1980-08-22T12:00:00,0.6492396652873561,86,PASSED
CTRL_122,Control,2017-08-25T12:00:00,0.6338872786682168,91,PASSED
CTRL_123,Control,2019-08-01T00:00:00,0.6346563999583453,90,PASSED
CTRL_124,Control,2013-08-28T06:00:00,0.6334463015817733,98,PASSED
CTRL_125,Control,2014-08-26T12:00:00,0.6409884911695581,93,PASSED
CTRL_126,Control,1984-08-21T06:00:00,0.6426841282136705,93,PASSED
